Campaign Name,Subject,Sent Date,Emails Sent,Open Rate,Unique Opens,Click Rate,CTOR,Unique clicks,Bounce Rate,Bounces,Unsubscribe Rate,Unsubscribes
2026 Packs - Summer July 15,Donâ€™t Miss Your FREE Energy-Savings Pack,7/15/2026 14:52,156683,47.14,73861,5.22,11.08,8182,0.75,1176,0.2,311
2026- 4th of July -July 14th,"Ends Today: Red, White & Cool Thermostat Deals",7/14/2026 14:26,98889,42.6,42126,1.27,2.98,1257,0.03,26,0.1,98
2026 Packs - Summer July 11,Donâ€™t Miss Your FREE Energy-Savings Pack,7/11/2026 14:11,122618,46.22,56672,4.67,10.1,5725,0.36,441,0.22,267
2026- 4th of July -July 9th,"Red, White & Cool: July 4th Thermostat Discounts Inside",7/9/2026 13:48,99119,44.01,43620,1.06,2.41,1053,0.02,24,0.15,149
2026 Packs - Summer July 8,Donâ€™t Miss Your FREE Energy-Savings Pack,7/8/2026 14:51,127935,46.21,59116,4.95,10.71,6332,0.62,790,0.22,281
2026- 4th of July -July 7th,"Red, White & Cool: July 4th Thermostat Discounts Inside",7/7/2026 14:50,99265,44.11,43787,1.25,2.83,1239,0.05,45,0.08,76
2026 Packs - Summer July 2,Donâ€™t Miss Your FREE Energy-Savings Pack,7/2/2026 15:26,86737,43.85,38038,2.89,6.58,2503,0.05,47,0.09,81
2026- 4th of July,"Red, White & Cool: July 4th Thermostat Discounts Inside",7/1/2026 14:36,99433,45.21,44950,1.68,3.72,1672,0.06,60,0.07,73
2026 BYOP Launch June 25,Customize Your FREE Energy Savings in Minutes!,6/25/2026 14:10,32075,46.5,14914,3.58,7.7,1148,0.05,16,0.07,23
2026 Packs - Summer June 23,Donâ€™t Miss Your FREE Energy-Savings Pack,6/23/2026 15:32,54883,40.69,22330,1.77,4.35,971,0.05,29,0.11,60
2026 Packs - Summer (Copy),Donâ€™t Miss Your FREE Energy-Savings Pack,6/20/2026 13:35,54930,41.33,22703,1.84,4.44,1008,0.05,25,0.08,46
2026 Packs - Summer,Donâ€™t Miss Your FREE Energy-Savings Pack,6/17/2026 15:37,54993,41.93,23057,2.22,5.29,1219,0.05,30,0.1,53
2026 BYOP Launch June 17,Customize Your FREE Energy Savings in Minutes!,6/17/2026 15:36,32103,47.58,15275,3.84,8.08,1234,0.02,6,0.07,23
2026 BYOP Launch June 10,Customize Your FREE Energy Savings in Minutes!,6/10/2026 14:55,32146,47.9,15398,4.12,8.59,1323,0.02,6,0.1,33
2026 New Packs June 9,Claim Your FREE Energy-Savings Pack Today!,6/9/2026 14:49,55063,43.26,23820,2.44,5.65,1346,0.04,21,0.11,63
2026 Memorial Day Sensi - Bilingual_June2,Keep Cool & Save Big This Summer,6/4/2026 13:41,58662,17.77,10423,0.6,3.39,353,0.04,26,0.11,65
2026 BYOP Launch June 3,Customize Your FREE Energy Savings in Minutes!,6/3/2026 15:16,32192,48.01,15454,3.83,7.98,1233,0.02,6,0.07,24
2026 New Packs June 3,Claim Your FREE Energy-Savings Pack Today!,6/3/2026 15:06,55177,43.19,23829,2.2,5.09,1212,0.06,31,0.09,51
2026 Memorial Day Sensi - Bilingual_June2,Keep Cool & Save Big This Summer,6/2/2026 14:32,100346,43.98,44134,1.11,2.52,1114,0.05,46,0.09,91
2026 Memorial Day Sensi - Bilingual ,Keep Cool & Save Big This Summer,5/28/2026 15:33,100486,44.86,45073,1.33,2.96,1336,0.03,33,0.11,114
